project_id,floor_id,unit,status,buyer,sqft
dsa,lower-ground,Shop # 01,sold,,
dsa,lower-ground,Shop # 02,sold,,
dsa,lower-ground,Shop # 03,available,,
dsa,lower-ground,Shop # 04,available,,
dsa,lower-ground,Shop # 05,available,,
dsa,lower-ground,Shop # 06,available,,
dsa,lower-ground,Shop # 07,available,,
dsa,lower-ground,Shop # 08,available,,
dsa,ground,Office # 01,available,,
dsa,ground,Office # 02,available,,
dsa,ground,Office # 03,sold,,
dsa,first,Shop # 01,available,,
dsa,first,Shop # 02,available,,
dsa,first,Shop # 03,available,,
dsa,first,Shop # 04,available,,
dsa,first,Shop # 05,available,,
dsa,first,Shop # 06,available,,
dsa,first,Shop # 07,available,,
dsa,second,Apartment # 1,sold,,350
dsa,second,Apartment # 2,sold,,369
dsa,second,Apartment # 3,available,,391
dsa,second,Apartment # 4,sold,,575
dsa,second,Apartment # 5,sold,,593
dsa,second,Apartment # 6,sold,,596
dsa,third,Apartment # 1,sold,,350
dsa,third,Apartment # 2,sold,,369
dsa,third,Apartment # 3,available,,391
dsa,third,Apartment # 4,available,,575
dsa,third,Apartment # 5,sold,,593
dsa,third,Apartment # 6,available,,596
dsa,fourth,Apartment # 1,sold,,350
dsa,fourth,Apartment # 2,available,,369
dsa,fourth,Apartment # 3,available,,391
dsa,fourth,Apartment # 4,available,,575
dsa,fourth,Apartment # 5,available,,593
dsa,fourth,Apartment # 6,available,,596
dsa,fifth,Apartment # 1,sold,,350
dsa,fifth,Apartment # 2,available,,391
dsa,fifth,Apartment # 3,available,,575
dsa,fifth,Apartment # 4,available,,596
dsa,fifth,Apartment # 5,sold,,959
dsa,sixth,Apartment # 1,sold,,350
dsa,sixth,Apartment # 2,available,,391
dsa,sixth,Apartment # 3,sold,,575
dsa,sixth,Apartment # 4,available,,596
dsa,sixth,Apartment # 5,available,,
